participant_ID,condition,task_numCorrect,taskInput_confidence,taskInput_a,taskInput_b,spatialAbility_score,numeracy_score,age,gender,education,familiar,trained,time_diff_task_solution,time_diff_spatial-part1,time_diff_spatial-part2,taskInput_explanation
hsm2wo3o,control,2,5,20,4,9,4,49,female,college,yes,yes,111832,181000,148409,"a.) 4 positive + 16 positive = 20 Positive

B.) Out of the 20 that will test positive, it explicitly states 4 people will have the disease."
hsm5082l,control,1,4,620,4,8.75,5,29,male,-,no,no,40267,71765,53510, It is clearly stated how many people test positive and how many actually have the disease.
hsm79mms,control,2,5,20,4,9.5,4,34,male,high school,no,no,49618,181007,181010,"I added the number of positive test results and figured the actual positive number from the information given.
 "
hsm5u37j,control,1,3,20,6,-0.75,5,26,male,college,no,no,78958,60087,20394,"I think this is the overall answer. 20 people test positive but out of those 20, 16 of them will not have it. But there are two people who test negative that do have it. "
hsm2qm9z,control,2,5,20,4,11,5,28,male,high school,no,no,23517,117535,64439,4 people who have the disease will test positive and 16 who don't have it will test positive.
hsm2qlni,control,2,4,20,4,12.75,5,30,female,college,yes,no,92245,181007,181001," Out of the 6 sick individuals, 4 will test positive. Out of the 94 healthy people, 16 will test positive. 4+16=20

The 16 healthy people don't have the disease. The other 4 do."
hsm2n2qg,control,2,5,20,4,2.75,5,24,male,college,yes,yes,54796,181710,181089,By reading the text.
hsm78nse,control,2,5,20,4,13.75,5,45,male,college,no,no,58199,179988,146529," i added the folks with the disease who tested positive, and those without the disease who tested positive."
hsm6mh4x,control,2,5,20,4,1.25,5,28,male,high school,yes,no,66551,104455,81206,I believe based on the scenario given that this could be the only right answer.
hsm2lzo4,control,0,1,15,12,9,5,23,female,college,yes,no,144747,110172,100779,I really just tried to give a rough guess based on what was given to me.
hsm2orv3,control,0,5,4,6,-1.25,3,22,male,high school,no,no,24936,181009,146481, By reading the passage/ pretty easy to figure out
hsm2abhb,control,0,5,15,3,1.75,0,29,female,PhD,no,no,38968,86381,77715,-
hsm5waoc,control,2,5,20,4,12.25,5,24,male,college,no,no,83213,169444,162860,"To find the number of people who will test positive, add the people who will test positive and who don't have the disease to the people will test positive and do have it.

To find the number of people who will test positive and who have the disease, enter how many people tested positive among those who had the disease."
hsm7eb5r,control,1,5,20,6,15.5,5,27,male,college,no,no,23379,181024,82328,The questions states that 6 people have the disease and 4 will test positive and then 16 more will also test positive.
hsm2py02,control,2,4,20,4,16.25,5,30,female,college,no,no,62215,100478,86160, used the info above to determine them
hsm2o193,control,2,5,20,4,10,5,21,male,high school,no,no,30332,122196,110616," For question a, I simply added the number of people who tested positive 16 and 4.
For question B, I chose the number the paragraph said tested positive that had the disease."
hsm36z22,control,1,5,20,6,5.25,5,25,male,high school,no,no,28137,183128,61172,it is clearly stated that 6 people have the disease.
hsm738nb,control,2,5,20,4,12.75,5,23,male,college,yes,no,73683,181009,171275,I used the provided data and derived my answers from the wording of the question.
hqzh23n1,storyboarding,0,5,6,100,1.25,2,26,female,high school,no,no,53125,132792,98479, i am sure my answer
hqzvos3a,storyboarding,2,5,20,4,18.75,4,56,male,college,no,no,44265,172219,179250, I based my answer on the explanation before.
hqzt4c03,storyboarding,1,4,1620,4,2.5,4,32,female,college,no,no,174805,159850,117523, I looked at both calculations given in the visualization and added them together.
hqzpezt6,storyboarding,1,2,20,6,3.5,5,28,male,college,no,no,309233,181018,181015,"First, an assumption: that it should be possible to derive the answer solely from looking at the visualizations, rather than solving a statistics problem by hand.

The visualizations seem to show that six people are infected out of the total population, which answers b. 

Out of the healthy population (94), 16 will show false positives. Out of the infected population (6), 4 will show accurate positives. 16 + 4 = 20."
hqzj4n2s,storyboarding,1,5,16,4,0.25,0,25,male,graduate school,yes,no,6285,17181,17387, 
hqzj9d95,storyboarding,2,5,20,4,12.75,4,24,female,graduate school,no,no,30521,181047,170924," Well, out of 100, only 6 are suffered from disease, which includes 2 negatively tested; so that left with only 4 people who are tested positive and are suffering from diseases too. Than among the people, who do not have disease, 16 are tested positive. So, the total number of people tested positive is 16 + 4 = 20."
hqzuzgnx,storyboarding,0,5,80,20,5,5,24,male,high school,yes,no,81903,181011,12718, Math
hqzpf8vy,storyboarding,0,4,23,6,5.25,4,22,female,college,no,no,254188,145854,112085," I looked at the top. and 6 people already have it. I divided 16 by 94 to get the percentage, and then added 6 to that."
hqzhmrf1,storyboarding,2,5,20,4,11.25,4,39,male,graduate school,no,no,31232,156737,119053, The question was very straight forward. 16+4 people will test positive and 4 will actually have the disease.
hqziiorm,storyboarding,1,5,16,4,-1,0,25,male,graduate school,no,no,10615,16113,19666, 
hqzq5chp,storyboarding,2,5,20,4,9,4,27,female,college,no,no,32298,137656,113224, Total - 16 not infected and 4 infected people will test positive. Out of the positive tested people 4 will carry the disease.
hqzzzssj,storyboarding,1,1,20,6,5.5,3,52,female,high school,no,no,153973,181003,159163, I guessed
hqzjjprn,storyboarding,2,5,20,4,10.25,4,33,male,graduate school,no,no,53940,181001,84183," The total test positive is 20. out of 6 who are test positive, only 4 are actually have the disease."
hqztzf21,storyboarding,1,4,20,6,15.25,5,25,female,college,no,no,100106,181314,170635," out of the 6, 4 are tested positive. Then it says of the 94, 16 people test positive. 4+16= 20"
hqzzobhe,storyboarding,2,4,20,4,7,4,25,female,college,no,no,58349,180987,180986," So out of the original 6 that do have the disease, 4 tested positive. 16 out of the 94 healthy people tested positive. So 16+4=20. The amount of people who tested positive AND had the disease was 4, according to the charts."
hqzwkp5q,storyboarding,2,5,20,4,11,5,33,male,high school,no,no,29848,180997,180983, I did the math based on what I read
hqzhtp7i,storyboarding,1,5,16,4,7.75,5,27,female,college,no,no,47466,181026,127259," The statement where it says out of 94, 16 will receive positive result it already counts the 4 positives out of the 6 too so 16 is the answer. For the second question out of the 16 , 6 actually have the disease."
hqzxlvyf,storyboarding,1,3,4,4,-1,4,37,male,graduate school,no,no,59776,56594,75817," In the above explanation, it stated that out of 100 people, 6 people have the disease and of those 6, 4 are positive. All 4 people who test positive must carry the disease."
hqzw8n5j,storyboarding,1,5,620,4,14.5,4,21,male,college,no,no,44366,181058,167224," from the diagram I have derived the answer It has 100 people 
where 20 tests positive  from that only four have disease"
hqzidmak,storyboarding,1,5,16,4,-1.5,0,27,male,graduate school,no,no,38175,7329,12233, 
hqzsatf7,storyboarding,1,5,16,4,17.5,3,29,male,high school,no,no,17332,138840,103930, I used the information and looked for the answer in the information porvided.  All the answers were provided if you have a basic command and comprehension of the english language.
hqzzrbyl,storyboarding,1,5,16,4,4.75,6,29,female,college,no,no,37867,146953,64714, the information was provided in the above data.
hr0051vx,storyboarding,2,5,20,4,17.5,5,53,male,high school,no,no,57722,170656,199891, From the diagrams supplied.
hqzj1jwh,storyboarding,1,5,16,4,-2.5,1,26,male,professional school,yes,no,3715,22282,14985, 
hrfhs4ts,storyboarding,1,5,20,6,10,5,37,male,professional school,no,no,41553,158091,75668,"By adding up the total number of false positives and actual positives, and taking the actual number of infected from the first statement."
hrfgi4wk,storyboarding,2,4,20,4,14.5,5,27,male,college,no,no,36982,181437,181069,"The information stated that 6 out of 100 will have the disease but only 4 will test positive, and out of the 94 who do not have the disease there will be 16 false positives."
hrfhxd6z,storyboarding,2,5,20,4,15.25,5,27,male,college,no,no,18385,130931,113666,"If 16 out of 78 who do not have the disease would test positive, and four out of six who do have the disease test positive, that's 20 total positive results. "
hrff6w1g,storyboarding,2,5,20,4,5.25,5,26,male,college,no,no,150792,181035,181078,In the example above 100 people were tested for the disease. In the diagram above if you count the people that test positive there are 20. 4 of those who tested positive have the disease as is also shown the diagram. 
hrffswgb,storyboarding,2,5,20,4,17,5,25,male,college,no,no,55241,181028,181079,"For (a), I added the 4 people who have the disease and test positive to the 16 people who do not have the disease and test positive. Then for (b), those that have the disease and test positive are a subset of all those who test positive. Therefore, the data presented saying ""4 people out of 6 who have the disease will test positive"" explicitly answers (b)."
hrfgju4g,storyboarding,2,4,20,4,16.5,5,34,male,college,no,no,23620,181042,181029, I counted the number of people in each of the graphic groups to get my answers.
hrffkdw7,storyboarding,1,5,16,4,15,5,36,male,high school,no,no,15364,177187,176356,"The information was presented to me directly, so I used that information as my answers."
hrffmumn,storyboarding,2,4,20,4,11.5,5,22,male,college,no,no,47119,181067,136924, I just counted up the numbers based on the information provided above.
hrfhvggk,storyboarding,1,4,20,6,3,3,31,female,high school,yes,no,88904,181013,181010,I used the information provided to the best of my ability 
hrfgojzt,storyboarding,1,5,16,4,11.5,4,34,female,college,no,no,16580,181259,109275, I looked at the diagram and description and retrieved my answers from the information given.
hrff7c8z,storyboarding,1,4,16,4,5.25,5,27,female,college,no,no,13528,100667,45476,"Four people have the disease and the last chart said that out of 94 people, 16 will have a positive test result. I just read the chart and the information."
hrfhzxyg,storyboarding,0,4,16,6,1.25,4,23,male,college,yes,no,51213,139788,73545, I did based the number of people that have it or tested positive
hrfhgxe2,storyboarding,0,5,16,6,10,3,25,female,high school,no,no,15577,123603,129892, I just read the information above it is stated clearly.
hrfg2zuj,storyboarding,2,2,20,4,13,5,36,male,college,no,no,45110,181098,144551, i used the graphs to determine the answers
hrfg68q1,storyboarding,2,4,20,4,5.5,5,25,male,college,no,no,101504,181111,181071," a) 4 of 6 who have disease test positive and 16 of 94 are positive so 4+16=20
 b) It was stated that 4 out of the 6 people who had the disease were positive.
"
hrffqx2v,storyboarding,2,5,20,4,18,5,21,male,college,no,no,35223,181110,181109,from the explanation and diagram. it showed 20 people being tested positively and 4 of those being correctly diagnosed.
hrfilk1s,storyboarding,1,5,20,6,8.75,5,28,female,high school,no,no,37950,132021,78410, I added the 16 of the undiseased people to the 4 of the diseased people who test positive on the test.
hrfhj6w4,storyboarding,2,4,20,4,11.25,5,22,male,college,no,no,51399,125734,67059, 4 Have the disease that will test positive and 16 that dont have the disease will test positive.. 4+16
hrfi12i1,storyboarding,1,3,16,4,10,5,27,male,graduate school,no,no,30687,181132,181114, I used the information from above to get the false positive/negative result rate
hrfgic4m,storyboarding,2,5,20,4,6.5,4,35,female,college,yes,no,127936,180998,180997,"For question (a), I added the number of positive tests from the group of people who actually have the disease to the number of false positives from the people who do not have the disease (based on the charts above). For question (b), I just gave the number of people who tested positive while actually having the disease."
hrffxhb5,storyboarding,2,5,20,4,9.5,5,40,male,graduate school,no,no,26560,181438,181188, 16 of 94 plus 4 of 6; alternately the block of 20 people which is clearly shown to be in box and with a label marked
hrfht2br,storyboarding,2,5,20,4,20,4,38,male,college,yes,no,27446,172388,161745, I looked at the last picture showing the total positive tests.
hrff60zk,storyboarding,2,5,20,4,10,5,37,male,high school,no,no,106084,181008,181024, did the math and looked at the chart to check my answer
hrfg5vlh,storyboarding,2,5,20,4,15,4,24,female,graduate school,no,no,34278,175512,168538," Of 94 people tested that do not have the disease, 16 test positive and of the 6 that have the disease 4 tested positive so that is 20 total that tested positive. Looking at the diagram where the two boxes overlap, 4 people that test positive will have the disease. "
hsm2rehi,storyboarding,2,5,20,4,3.75,5,30,male,college,no,no,80339,194669,123980, I used the visual data. 
hsm7vshc,storyboarding,1,4,20,20,8.75,5,50,male,college,no,no,280082,166847,119050," 20 test positive, including 4 that have the disease. All who were tested have the disease.  There were no false positives. "
hsmampu9,storyboarding,1,4,16,4,10,5,20,male,college,no,no,44576,161234,179731,I used the final visual that shows that out of the 100 people 16 of the people test positive
hsm22lpl,storyboarding,0,4,100,0,0,1,31,male,graduate school,no,no,36777,84605,84977,-
hsm2gow3,storyboarding,1,5,16,4,3.75,3,21,female,graduate school,no,no,69000,119026,85974, 
hsm2q0b7,storyboarding,1,5,16,4,13.25,5,27,male,high school,no,no,114252,181031,181020, I red the chart and followed the description.
hsm6vnsk,storyboarding,2,5,20,4,15,5,31,male,graduate school,no,no,17215,173496,159610,"The diagram shows 10 people circled as tested positive and of those 20, 4 are shaded as actually having the disease."
hsm5l3uw,storyboarding,2,5,20,4,17.75,5,29,male,college,yes,yes,19206,181025,166365," The test positive section is highlighted and contains 20 people (or 16 positive who don't have plus 4 positive who do have, which this last bit is the answer to the second question)"
hsmaaen2,storyboarding,2,5,20,4,9.5,5,29,female,high school,no,no,37233,181009,148401," On the chart of 100 people, the figures who test positive are circled. I simply counted the people in the circle which is 20 people who will test positive even though only 4 are darkened on the chart as actually having the disease."
hsm9znq5,storyboarding,2,5,20,4,13.25,5,25,male,high school,no,no,98452,181032,166215,"I looked at the circled people who ""test positive"" and counted them. I initially typed ""16"" because of what the text said but then I realized the text said ""Out of these 94"" which wasn't the total sample base. For those who actually have the disease, it was easy to just look and see that it was 4."
hsm2w2gg,storyboarding,0,4,19,6,10,2,23,male,college,no,no,15817,64213,43657,I used the pictures to help me visualize numbers.
hsma9qez,storyboarding,2,5,20,4,11.75,5,29,male,college,no,no,36804,180798,180777, I simply counted the number of people in the test positive box.
hsm6l7rb,storyboarding,2,1,20,4,-3.75,4,26,male,graduate school,no,no,28874,30719,36010, I just looked at the diagram and made a guess
hsm80qnn,storyboarding,1,5,16,4,12.5,5,29,male,college,no,no,26331,171299,118472," as stated above, 16 test positive but only 4 also have it.  2 test negative but have it.  "
hsm5z88b,storyboarding,2,4,20,4,3.75,4,26,female,graduate school,no,no,23665,81093,46104," From the data you first gave me, and the charts. I guess it woudlnt' always be these exact numbers."
hsmacdyd,storyboarding,2,5,20,4,5.25,2,29,female,college,no,no,54622,181087,181090,"(a) Of the 100 people tested, 4 people who actually have the disease will test positive. Another 16 people who don't have the disease will test positive because the test is not perfect. (20)
(b) There will be 4 people that test positive and have the disease, while 2 people will test negative but have the disease. (4)"
hqzxtv5r,structured,0,5,4,6,-1,0,22,male,graduate school,no,no,27217,73850,19750, my answers are true
hqzwn8b8,structured,1,3,20,6,0.25,4,21,female,high school,no,no,59694,71998,38350, I derived my answers based on the data.
hr0e2nom,structured,0,3,15,2,3.75,3,29,female,college,no,no,35697,96500,101622, just a probability calculation
hqzk2rk3,structured,2,5,20,4,-3.5,3,24,female,college,no,yes,60346,112812,118120,"Whatever I answered , it was exactly right."
hqzr253p,structured,2,5,20,4,8.5,3,35,male,college,no,no,63267,181022,136669, I just followed the 2nd breakdown.
hqzgx0tc,structured,2,5,20,4,3.25,3,40,female,college,no,no,27682,180992,181009, the answer is given in the example itself.
hqztbiol,structured,0,-,10,7,1.75,2,34,female,graduate school,no,no,66460,85503,61197, I averaged it on a 10 percent bases of 100 people
hqzk32rb,structured,2,5,20,4,2.5,1,30,male,graduate school,yes,no,184971,29067,55631, My answer is 100% right. 
hqzsc4fb,structured,2,5,20,4,15,5,29,female,postdoctoral,yes,no,59415,134456,116561,"I counted; out of 100, 
6 having the disease:  4 positives
94 not having it:  16 positives 
16+4=20
...and out of those 20 that tested positive, 4 of them had the disease to begin with."
hqzwe431,structured,2,5,20,4,11.5,5,57,female,college,no,no,330373,181234,181222,"If I'm understanding the question correctly, the answers are shown above in the scenario description."
hqzy3ool,structured,2,5,20,4,1.25,4,33,male,college,no,no,34457,181002,125426,"I got my answer from carefully reading the information given in the problem which states that a total of 20 people will test positive, and out of those 20 a total of 4 people will actually have the disease."
hqzy6b2x,structured,2,4,20,4,7.5,3,29,male,graduate school,yes,no,118076,86821,124092, Followed the info through the problems
hqzvz4lt,structured,0,5,6,94,9,2,21,female,graduate school,yes,yes,104554,129189,136301, very nice
hr000j9v,structured,0,4,4,6,-3.75,4,48,female,graduate school,no,no,280913,162972,154216, I derived the answer as per the above problem
hqzt77zh,structured,2,5,20,4,11.75,3,51,male,college,no,no,34093,181002,118551, It was explained in the scenario.
hqzig22g,structured,2,5,20,4,8,5,56,male,high school,no,no,30001,181016,181028," It was clearly explained above under ""Another way to think about this is..."""
hqzijxiw,structured,2,4,20,4,1.25,3,26,female,graduate school,no,no,56400,199862,207117, 
hqzhlqfj,structured,2,4,20,4,1.25,4,29,female,graduate school,no,yes,48205,180484,176244, no this is correct answer
hqzhxxdd,structured,0,4,4,6,-1.25,1,24,male,college,yes,yes,38609,98184,30780, i confident answer
hqzznu1v,structured,2,5,20,4,9.75,5,42,female,college,no,no,28891,183542,182819,The scenario said that for 100 people in the population 20 will test positive and 4 will actually have the disease.
hrfguu1o,structured,2,5,20,4,8.5,5,24,male,graduate school,no,no,28848,181040,181028, I just used the data given above and answered the question.
hrffqepo,structured,2,5,20,4,13.25,4,23,male,graduate school,yes,yes,17168,181009,70829,its given in the scenario 
hrffqn25,structured,2,5,20,4,14.75,5,27,male,college,no,no,11747,166170,123007, The answer is written obviously.
hrfgrybb,structured,2,5,20,4,10,4,23,male,college,no,yes,22560,94542,81700, The answers are given in the second explanation
hrfgczoe,structured,2,5,20,4,15,5,-,-,college,no,no,26739,180969,180999,"Just like is said above, ""20 poeple will test positive out of 100"".  So a) is pretty simple just by reading.  

For b), I know that 20 people will test positive and 6 people actually have teh disease.   However, only 4 of the poeple with the disease will test positive.  So the answer is 4.  "
hrfj112h,structured,0,1,12,8,6.25,2,22,male,college,no,no,18064,66977,38120, I'm not exactly sure how to explain what I did. I derived that the possible situation would have 12 people positive due to 16 having it and the other information telling me 4 have it. Then I used the same formula for how many people test negative to factor how many test positive. 
hrfhccm2,structured,2,5,20,4,8.75,4,23,male,college,no,no,25338,170442,108891," According to the statistic given above, 100 people in population are tested and 20 people will be tested positive and 4 of those 20 will have the disease."
hrfh8097,structured,2,4,20,4,17.75,5,20,male,college,yes,yes,47201,145831,181020,It is easy to read from the scenario that it clearly says out of 100 people tested 20 will test positive and of those 4 will actually have the disease.
hrffjqrn,structured,2,3,20,4,9.75,5,50,female,PhD,no,no,199127,181153,174700,"I derived my answers from the results given above, summing the number of positive tests of people having the disease and the number of positive tests of healthy people. I'm not sure of my answers since this is not my field at all and it seemed to me too easy to solve."
hrffu8eq,structured,2,5,20,4,6,5,24,male,high school,no,no,60894,194251,100629," I just used the information provided to make my decision, all of the information provided was enough to answer."
hrfhng5t,structured,2,4,20,4,9,4,25,male,college,no,no,73565,177551,153775," Through the disease rates given in the article, the false positive rate for the test is likely universal. "
hrfgzmwi,structured,2,5,20,4,13.25,5,19,male,college,no,no,20553,181000,181007," I looked back at the reading to verify my information, and it said that the test wasnt perfect, so some people who didnt have it would test positive, and the other way around."
hrfia3re,structured,2,4,20,4,10,5,28,female,graduate school,no,yes,37859,186816,184802," Out of 94 people who do not have the disease, 16 test positive. 4 out of the 6 people who have the disease test positive. 16+4=20"
hrfhaiz9,structured,0,4,24,10,0,1,26,male,college,no,no,39008,20382,14646, I just added up the for sure positives and the people that tested positive in the first group of info
hrff6bbf,structured,2,5,20,4,15.25,5,21,female,high school,yes,no,40771,159949,113942, It says above
hrfi54fp,structured,2,5,20,4,13,5,25,male,high school,no,no,69511,181000,181002,"I think the answer is very simple. It is plainly stated in the 'another way to think about this' section that 20 people out of 100 will test positive, and out of those 20 people 4 would have the disease."
hrfi6z6y,structured,2,1,20,4,2.5,3,40,female,high school,no,no,25730,181001,180991, If the 100 people who are tested for the disease are the same as the 100 members of the population then the answer is right above this box.
hrffnus0,structured,2,5,20,4,8.5,4,29,male,high school,no,no,61757,180989,180989," The above scenario states that ""out of the 100 people in the population, 20 will test positive and out of those 20 only 4 will have the disease. These statements are where I got my answers. "
hrffq1rr,structured,2,5,20,4,7.5,5,24,male,college,no,no,19048,45818,36297,I followed the secondary explanation.
hrfh851j,structured,2,5,20,4,11.5,5,26,male,college,no,no,21177,115988,123333,I just read the information. The second half tells you that 20/100 will test positive and 4 will have it.
hrfiai7y,structured,2,4,20,4,15.5,5,32,male,college,no,no,24089,181109,115337,"a - it says 20 people will test positive
b - only 4 people that have the disease will test positive"
