participant_ID,condition,task_numCorrect,taskInput_confidence,taskInput_a,taskInput_b,spatial_score,numeracy_score,age,gender,education,familiar,trained,time_diff_task_solution,time_diff_spatial-part1,time_diff_spatial-part2,taskInput_explanation
hrwqh2mq,text_probe,0,2,80,75,0.25,3,23,female,high school,no,no,78704,107053,72813," Well above it said every 8 or 10 have breast cancer out of the 1,000.10*10=100 10*8=80."
hrwvz41o,text_probe,0,5,800,200,4,3,47,male,college,no,no,11311,139781,128608, From the above information it is clearly mentioned that 80% of the women have breast cancer
hrvj7cs4,text_diseaseX,0,2,95,990,5,1,26,male,graduate school,yes,yes,14795,74145,37829,-
hrwop85e,text_diseaseX,0,1,800,200,4.25,4,20,male,college,no,no,431183,181139,176616,"I saw that 8 out of ten people had the disease. Ten goes into 1,000 one hundred times. So one hundred times 8 is 800. Then I did the same thing but with two."
hrwvauiq,text_diseaseX,2,5,103,8,14.25,4,23,female,professional school,no,no,32840,180990,137901," 10 people who are actually affected, only 8 will have positive results and out of 990 unaffected people, 95 will have positive results, thus 8+95=103."
hrww14kg,text_diseaseX,0,1,32,43,2.5,1,26,male,graduate school,yes,no,44199,105949,115075, NICE
hrwu93mk,text_diseaseX,0,5,8,10,9.25,4,32,female,college,no,yes,160683,182620,109542, from the reading
hrwv6283,text_diseaseX,0,5,96,77,10,3,24,male,professional school,no,no,564396,181095,161419,Out of 990 people 95 will get positive result. Then in case of 1000 peoples we will get 96 of them positive. Out of 10 have disease we will get 8 of them has positive. Then in case of 96 we will get 77 as positive.
hrwoo27r,text_diseaseX,2,5,103,8,15.5,3,35,male,graduate school,no,no,85625,181125,181161, 95 out of 990 have positive test. And 10 out of 1000 have detected disease having only 8 positive. 95+8=103
hrwq1aze,text_diseaseX,2,5,103,8,13.75,4,30,female,college,no,no,80126,181001,181001,"I added the 8 positive test results of individuals who actually had the disease and the 95 positive results for individuals who, in fact, did not have the disease."
hrwstjw0,text_diseaseX,0,4,100,800,-1,3,33,female,college,yes,yes,178906,152973,138407,1000*.10=100 and 1000*.8=800
hrwoe5s0,text_diseaseX,2,5,103,8,8.5,5,52,male,college,no,yes,42656,163385,143319,"Among the 10 who have the disease, 8 will test positive. Of the 990 who don't, 95 will test positive; total 103 positive tests. (Yeeow, 95 false positives.)"
hrwt0pfv,text_diseaseX,1,4,103,95,-1.25,1,65,female,high school,no,no,100405,127007,95529, I read the paragraph
hrwuazyi,text_diseaseX,2,5,103,8,4.25,3,46,male,graduate school,no,no,55455,181001,125757," As per statement 10 are having disease and out of 10, 8 will receive positive result and so naturally 8 are affected by disease.  As per statement out of 990 people 95 will receive a positive result so 95+8 are found positive."
hrwwnylr,text_diseaseX,1,1,103,103,9,6,33,male,college,no,no,339551,181015,148287,"(A)If out of the 10, 8 test positive and out of the 990 95 test positive, I added 8+95 = 103 (that will test positive).
(B) If you test positive then you have the disease. That's how I understood the question."
hrwvd7ep,text_diseaseX,0,2,95,990,0,1,32,female,graduate school,yes,yes,9226,33313,21581,-
hrwyacir,text_diseaseX,1,5,95,8,8.75,5,32,male,college,no,no,22874,108327,134342, its right from the scenario text
hrwwl515,text_diseaseX,0,4,800,200,7.5,3,65,male,high school,no,no,16336,153581,152329," 1000 people actually have the disease , out these 10 people , 8 receive the positive result. so that i derived the answer"
hrwnegbm,text_diseaseX,2,5,103,8,10.25,4,29,male,college,no,no,26224,181017,181020, i searched for when it said positive test result and added them together.  For the second one i just read the first sentence and ignored theother one.
hrwvxx98,text_diseaseX,1,4,103,103,12.5,4,32,female,graduate school,no,no,101256,180991,148325,"Out of 1000, 10 had the disease, and out of these 10, only 8 has positive results. From the remaining 990, only 95 received positive results. So combining both the answers, it is 103."
hrwum8mr,text_diseaseX,2,5,103,8,3.75,2,49,male,high school,no,no,61949,181005,181006," there are 95 who will receive a positive test result but do not have the disease.  8 of the 10 who have the disease will test positive.  this equals 103.  
there are 10 who have the disease.  8 of them will test positive.  this equals 8"
hrwx981m,text_diseaseX,0,1,96,77,13.75,4,35,male,college,no,no,148620,173777,136050,"To get the number of people testing positive, I divided 95/990, then multiplied it to 1000 people.

To get the answer for B, I multiplied the answer in a by 80% (8/10)"
hrwxwuwp,text_diseaseX,2,4,103,8,11.25,3,28,male,college,no,no,51645,164246,159061," The number of people who tested positive can be found by adding the 8 actual positives with the 95 false positives, giving you 103. You already told me out of the 10 people who had it only 8 tested positive."
hrwp7k0q,text_diseaseX,1,5,8,8,9,4,23,female,college,no,no,59669,181061,181090,"The scenario clearly states that out of 1000 people, 10 will actually have the disease, but only 8 will test positive for it. Which means that all 8 people that test positive for the disease will have the disease."
hrwtuk61,text_diseaseX,1,3,103,23,6.75,1,29,male,graduate school,no,no,790108,181062,181063," Its given, out of 10 people 2 will receive negative result."
hrwuuycc,text_diseaseX,2,4,103,8,6.25,4,54,female,professional school,yes,yes,55671,180994,180994," Those who test positive will be the 8 of the 10 who have the disease, plus the 95 who don't have it, but test positive anyway."
hrwxj5t5,text_diseaseX,2,5,103,8,5.25,3,29,male,professional school,yes,no,51887,181023,84726,"Test Positive - 8 + 95 = 103
Actually have the disease of who test positive - 8 out of  10 "
hrwt95ie,text_diseaseX,1,3,103,10,11.25,4,22,male,college,no,no,569991,159155,116014,Mind calculation
hrwtbr3a,text_diseaseX,2,5,103,8,1.25,4,28,male,professional school,no,no,116197,182361,123445, it was clearly mentioned there in the data provided
hrwwqajp,text_diseaseX,1,4,103,10,7.5,3,23,female,college,no,no,73264,139393,146750," Out of 10 people who have the disease, 8 will receive plus the 95 people from the 990 healthy people.

 "
hrwvxs6q,text_diseaseX,2,5,103,8,17.5,5,26,male,graduate school,no,no,53004,163226,113565, I looked at the statistics and added the numbers together.
hrww6m97,text_diseaseX,0,4,8,95,-1,1,28,female,high school,no,no,47779,85493,126649, I just read the Article again and just pray my answers are right.
hrwkxqvb,text_diseaseX,0,1,20,0,0.25,0,23,male,high school,yes,no,7154,37701,19837,I just think in my head
hrwu0drt,text_diseaseX,2,5,103,8,7,5,35,male,college,yes,no,38321,181255,181262," added 8 positive tests of the 10 who have it and the 95 out of the remainder who will test positive.

b) simply got 8 from the statement ""out of these 10 people, 8 will receive a positive test result""."
hrwl4qae,text_diseaseX,2,4,103,8,10.75,5,51,female,college,no,no,79545,181140,183615, 8 OF 10 PEOPLE WHO TESTED POSITIVE HAVE THE DISEASE. 95 PEOPLE WHO DO NOT HAVE THE DISEASE STILL TESTED POSITIVE
